dimensions,budget,problem,algorithm,perf_a,perf_b,equal
100,200,f1_Sphere,MetaModel,1110.2867476763,1110.2867476763,True
100,200,f1_Sphere,MetaModel,1213.1114420181,1213.1114420181,True
100,200,f1_Sphere,MetaModel,1199.681450127,1199.681450127,True
100,200,f1_Sphere,MetaModel,1099.5890460957,1099.5890460957,True
100,200,f1_Sphere,MetaModel,1316.3283586789,1316.3283586789,True
100,200,f1_Sphere,MetaModel,1110.5913166017,1110.5913166017,True
100,200,f1_Sphere,MetaModel,1200.6632904187,1200.6632904187,True
100,200,f1_Sphere,MetaModel,1404.0073941598,1404.0073941598,True
100,200,f1_Sphere,MetaModel,1367.7777070022,1367.7777070022,True
100,200,f1_Sphere,MetaModel,921.0205665532,921.0205665532,True
100,200,f1_Sphere,MetaModel,1019.745153154,1019.745153154,True
100,200,f1_Sphere,MetaModel,1222.8893943905,1222.8893943905,True
100,200,f1_Sphere,MetaModel,985.1645946379,985.1645946379,True
100,200,f1_Sphere,MetaModel,1015.0890442967,1015.0890442967,True
100,200,f1_Sphere,MetaModel,1120.39642898,1120.39642898,True
100,200,f1_Sphere,MetaModelOnePlusOne,441.287451515,441.287451515,True
100,200,f1_Sphere,MetaModelOnePlusOne,423.2521156567,423.2521156567,True
100,200,f1_Sphere,MetaModelOnePlusOne,475.4475402896,475.4475402896,True
100,200,f1_Sphere,MetaModelOnePlusOne,348.6710924306,348.6710924306,True
100,200,f1_Sphere,MetaModelOnePlusOne,355.6100329695,355.6100329695,True
100,200,f1_Sphere,MetaModelOnePlusOne,443.7667100338,443.7667100338,True
100,200,f1_Sphere,MetaModelOnePlusOne,370.8264328155,370.8264328155,True
100,200,f1_Sphere,MetaModelOnePlusOne,355.5701371851,355.5701371851,True
100,200,f1_Sphere,MetaModelOnePlusOne,434.2785481533,434.2785481533,True
100,200,f1_Sphere,MetaModelOnePlusOne,491.7778905457,491.7778905457,True
100,200,f1_Sphere,MetaModelOnePlusOne,429.3437885425,429.3437885425,True
100,200,f1_Sphere,MetaModelOnePlusOne,521.6526066519,521.6526066519,True
100,200,f1_Sphere,MetaModelOnePlusOne,358.5056965675,358.5056965675,True
100,200,f1_Sphere,MetaModelOnePlusOne,456.5595352179,456.5595352179,True
100,200,f1_Sphere,MetaModelOnePlusOne,388.5425299366,388.5425299366,True
100,200,f1_Sphere,MetaModelOnePlusOne,496.5515574612,496.5515574612,True
100,200,f1_Sphere,MetaModelOnePlusOne,551.6878298007,551.6878298007,True
100,200,f1_Sphere,MetaModelOnePlusOne,477.4229724617,477.4229724617,True
100,200,f1_Sphere,MetaModelOnePlusOne,466.2311633917,466.2311633917,True
100,200,f1_Sphere,MetaModelOnePlusOne,383.4491939684,383.4491939684,True
100,200,f1_Sphere,MetaModelOnePlusOne,438.3935992389,438.3935992389,True
100,200,f1_Sphere,MetaModelOnePlusOne,501.5801058149,501.5801058149,True
100,200,f1_Sphere,MetaModelOnePlusOne,496.0008568377,496.0008568377,True
100,200,f1_Sphere,MetaModelOnePlusOne,345.9772777502,345.9772777502,True
100,200,f1_Sphere,MetaModelOnePlusOne,393.8951987146,393.8951987146,True
100,200,f1_Sphere,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),392.4764809045,454.9862848738,False
100,200,f1_Sphere,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),330.9221764582,462.3025051292,False
100,200,f1_Sphere,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),426.4632336626,388.3308187472,False
100,200,f1_Sphere,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),412.5232821487,350.4271691479,False
100,200,f1_Sphere,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),443.0066275684,433.9676342372,False
100,200,f1_Sphere,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),404.638163531,395.1468705552,False
100,200,f1_Sphere,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),410.4464871567,384.6311290178,False
100,200,f1_Sphere,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),379.1651857632,417.7059856826,False
100,200,f1_Sphere,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),427.1001962491,350.5040146362,False
100,200,f1_Sphere,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),412.6844283168,457.532138905,False
100,200,f1_Sphere,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),397.7643230414,436.5787440622,False
100,200,f1_Sphere,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),430.7390076398,391.6757545761,False
