dimensions,budget,algorithm
3,1500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
3,2000,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.3), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.6900000000000002)], warmup_ratio=0.5)"
3,2500,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.3), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.6900000000000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.197)], warmup_ratio=0.5)"
3,3000,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.3), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.6900000000000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.197), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.8561000000000005)], warmup_ratio=0.5)"
3,3500,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.3), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.6900000000000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.197), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.8561000000000005)], warmup_ratio=0.5)"
3,4000,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.3), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.6900000000000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.197), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.8561000000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=3.7129300000000005)], warmup_ratio=0.5)"
3,4500,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.3), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.6900000000000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.197), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.8561000000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=3.7129300000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=4.826809000000001)], warmup_ratio=0.5)"
3,5000,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.3), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.6900000000000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.197), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.8561000000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=3.7129300000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=4.826809000000001)], warmup_ratio=0.5)"
3,6000,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.3), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.6900000000000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.197), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.8561000000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=3.7129300000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=4.826809000000001), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=6.274851700000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=8.157307210000003)], warmup_ratio=0.5)"
3,7000,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.3), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.6900000000000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.197), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.8561000000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=3.7129300000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=4.826809000000001), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=6.274851700000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=8.157307210000003), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=10.604499373000003)], warmup_ratio=0.5)"
3,8000,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.3), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.6900000000000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.197), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.8561000000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=3.7129300000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=4.826809000000001), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=6.274851700000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=8.157307210000003), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=10.604499373000003), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=13.785849184900005)], warmup_ratio=0.5)"
