dimensions,budget,algorithm,rank,ngopt rank,algo ID,in data,points test,rank test
2,5000,ChainMetaModelPowell,2,2,1,True,519,4
2,5000,MetaModel,2,2,3,True,554,3
2,5000,CMA,4,4,0,True,620,2
2,6000,ConfPortfolio_scale2_scale=1.3_ngopt14s_13,11,0,26,True,658,2
2,6000,ChainMetaModelPowell,1,-1,1,True,534,5
2,6000,ConfPortfolio_scale2_scale=1.3_ngopt14s_18,2,2,21,True,620,4
2,6000,ConfPortfolio_scale2_scale=1.3_ngopt14s_20,3,3,19,True,630,3
2,6000,ConfPortfolio_scale2_scale=1.3_ngopt14s_17,4,4,22,True,665,1
2,7000,ConfPortfolio_scale2_scale=1.3_ngopt14s_15,11,0,24,True,679,2
2,7000,ConfPortfolio_scale2_scale=1.3_ngopt14s_20,1,-1,19,True,633,5
2,7000,ConfPortfolio_scale2_scale=1.3_ngopt14s_17,2,2,22,True,684,1
2,7000,ConfPortfolio_scale2_scale=1.3_ngopt14s_19,3,3,20,True,644,4
2,7000,ConfPortfolio_scale2_scale=1.3_ngopt14s_18,4,4,21,True,652,3
2,8000,ConfPortfolio_scale2_scale=1.3_ngopt14s_17,1,0,22,False,0,4
2,8000,ConfPortfolio_scale2_scale=1.3_ngopt14s_20,2,2,19,True,670,2
2,8000,ConfPortfolio_scale2_scale=1.3_ngopt14s_19,3,3,20,True,692,1
2,8000,ConfPortfolio_scale2_scale=1.3_ngopt14s_18,3,3,21,True,653,3
2,8000,ConfPortfolio_scale2_scale=1.3_ngopt14s_21,5,5,18,False,0,4
2,9000,ConfPortfolio_scale2_scale=1.3_ngopt14s_19,4,0,20,False,0,2
2,9000,ConfPortfolio_scale2_scale=1.3_ngopt14s_17,1,-1,22,True,828,1
2,9000,ConfPortfolio_scale2_scale=1.3_ngopt14s_18,2,2,21,False,0,2
2,9000,ConfPortfolio_scale2_scale=1.3_ngopt14s_20,3,3,19,False,0,2
2,9000,ConfPortfolio_scale2_scale=1.3_ngopt14s_21,5,5,18,False,0,2
3,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,0,5,True,302,1
3,200,MetaModelOnePlusOne,2,2,4,True,238,2
3,200,ChainMetaModelPowell,3,3,1,True,136,4
3,200,MetaModel,3,3,3,True,147,3
3,200,Cobyla,5,5,2,True,102,5
3,300,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,0,5,True,351,1
3,300,MetaModel,2,2,3,True,134,4
3,300,ChainMetaModelPowell,2,2,1,True,140,3
3,300,MetaModelOnePlusOne,4,4,4,True,194,2
3,300,CMA,5,5,0,True,131,5
3,500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,0,5,True,421,1
3,500,ChainMetaModelPowell,2,2,1,True,185,5
3,500,MetaModel,2,2,3,True,196,3
3,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38,True,196,3
3,500,CMA,4,4,0,True,197,2
3,1000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),5,0,5,True,394,1
3,1000,CMA,1,-1,0,True,368,2
