dimensions,budget,algorithm,rank,ngopt rank,algo ID
45,5000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
60,500,MetaModelOnePlusOne,3,3,4
60,5000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
60,5000,CMA,3,3,0
2,6000,ConfPortfolio_scale2_scale=1.3_ngopt14s_20,3,3,19
15,5000,MetaModel,3,3,3
15,5000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
15,5000,ChainMetaModelPowell,3,3,1
25,5000,ChainMetaModelPowell,3,3,1
50,5000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
25,5000,MetaModel,3,3,3
50,5000,ChainMetaModelPowell,3,3,1
40,500,MetaModelOnePlusOne,3,3,4
100,5000,ChainMetaModelPowell,3,3,1
5,6000,CMA,3,3,0
5,6000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
70,5000,CMA,3,3,0
70,500,MetaModelOnePlusOne,3,3,4
90,500,MetaModelOnePlusOne,3,3,4
100,5000,CMA,3,3,0
70,5000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
3,6000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,3,5
100,5000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
30,2000,MetaModelOnePlusOne,3,3,4
20,6000,CMA,3,3,0
60,200,MetaModelOnePlusOne,3,3,4
50,9000,CMA,3,3,0
50,9000,MetaModel,3,3,3
70,200,MetaModelOnePlusOne,3,3,4
80,200,MetaModelOnePlusOne,3,3,4
30,9000,MetaModel,3,3,3
25,9000,MetaModel,3,3,3
90,200,MetaModelOnePlusOne,3,3,4
20,9000,MetaModel,3,3,3
15,9000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,3,5
100,200,MetaModelOnePlusOne,3,3,4
10,9000,ConfPortfolio_scale2_scale=1.3_ngopt14s_2,3,3,37
5,9000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
5,9000,CMA,3,3,0
3,9000,ConfPortfolio_scale2_scale=1.3_ngopt14s_14,3,3,25
2,9000,ConfPortfolio_scale2_scale=1.3_ngopt14s_20,3,3,19
90,8000,ChainMetaModelPowell,3,3,1
90,8000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
5,300,Cobyla,3,3,2
70,8000,Cobyla,3,3,2
10,300,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,3,5
60,8000,Cobyla,3,3,2
15,300,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,3,5
50,8000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,3,5
