dimensions,budget,algorithm,rank,ngopt rank,algo ID
30,10000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
70,2500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
80,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
25,2500,ChainMetaModelPowell,4,4,1
80,200,CMA,4,4,0
2,5000,CMA,4,4,0
40,8000,MetaModel,4,4,3
70,1000,CMA,4,4,0
20,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
35,6000,MetaModel,4,4,3
60,1000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
20,500,ChainMetaModelPowell,4,4,1
30,6000,MetaModel,4,4,3
40,4000,ChainMetaModelPowell,4,4,1
60,1000,CMA,4,4,0
25,500,CMA,4,4,0
25,6000,MetaModel,4,4,3
25,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
50,1000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
20,6000,MetaModel,4,4,3
30,500,CMA,4,4,0
30,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
15,6000,ChainMetaModelPowell,4,4,1
15,6000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
50,1000,CMA,4,4,0
35,500,CMA,4,4,0
40,6000,MetaModel,4,4,3
70,1000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
15,500,ChainMetaModelPowell,4,4,1
25,4000,MetaModel,4,4,3
80,3500,CMA,4,4,0
2,7000,ConfPortfolio_scale2_scale=1.3_ngopt14s_18,4,4,21
80,3500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
90,3500,CMA,4,4,0
35,3000,ChainMetaModelPowell,4,4,1
90,3500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
3,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
2,1500,CMA,4,4,0
2,4000,CMA,4,4,0
60,4000,CMA,4,4,0
100,1000,ConfPortfolio_scale2_NA_ngopt14s_6,4,4,12
100,1000,CMA,4,4,0
90,1000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
90,1000,CMA,4,4,0
10,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
10,500,ChainMetaModelPowell,4,4,1
80,1000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
80,1000,CMA,4,4,0
15,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
45,6000,Cobyla,4,4,2
5,500,MetaModelOnePlusOne,4,4,4
2,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
60,4000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
45,1000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
25,1000,ChainMetaModelPowell,4,4,1
25,1000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
20,1000,ChainMetaModelPowell,4,4,1
20,1000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
80,500,CMA,4,4,0
80,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
15,1000,ChainMetaModelPowell,4,4,1
15,1000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
90,500,CMA,4,4,0
90,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
60,4500,CMA,4,4,0
60,4500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
5,1000,ChainMetaModelPowell,4,4,1
5,1000,MetaModel,4,4,3
80,4500,CMA,4,4,0
80,4500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
30,2000,ChainMetaModelPowell,4,4,1
100,500,ConfPortfolio_scale2_NA_ngopt14s_12,4,4,6
3,5000,CMA,4,4,0
70,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
70,500,CMA,4,4,0
60,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
60,500,CMA,4,4,0
45,1000,CMA,4,4,0
40,500,CMA,4,4,0
3,6000,CMA,4,4,0
80,4000,CMA,4,4,0
80,4000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
40,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
2,6000,ConfPortfolio_scale2_scale=1.3_ngopt14s_17,4,4,22
45,500,CMA,4,4,0
40,1000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
35,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
45,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
2,4500,CMA,4,4,0
35,1000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
80,5000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
80,5000,CMA,4,4,0
50,500,CMA,4,4,0
50,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
35,1000,CMA,4,4,0
30,1000,ChainMetaModelPowell,4,4,1
30,1000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
40,1000,CMA,4,4,0
3,7000,ConfPortfolio_scale2_scale=1.3_ngopt14s_18,4,4,21
3,500,CMA,4,4,0
60,3500,CMA,4,4,0
90,3000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
40,300,CMA,4,4,0
40,300,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
2,1000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
35,1500,CMA,4,4,0
2,3500,CMA,4,4,0
30,1500,ChainMetaModelPowell,4,4,1
60,3500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
45,3000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
30,1500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
45,300,CMA,4,4,0
45,3000,CMA,4,4,0
45,300,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
25,1500,ChainMetaModelPowell,4,4,1
80,7000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),4,4,5
50,300,CMA,4,4,0
50,300,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
90,3000,CMA,4,4,0
3,8000,ConfPortfolio_scale2_scale=1.3_ngopt14s_18,4,4,21
35,1500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
80,3000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
50,3000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
25,8000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
40,1500,CMA,4,4,0
20,8000,ChainMetaModelPowell,4,4,1
20,8000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
30,300,CMA,4,4,0
30,300,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
15,8000,ChainMetaModelPowell,4,4,1
20,1500,ChainMetaModelPowell,4,4,1
60,3000,CMA,4,4,0
60,3000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
10,8000,ChainMetaModelPowell,4,4,1
70,3000,CMA,4,4,0
70,3000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
35,300,CMA,4,4,0
35,300,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
80,3000,CMA,4,4,0
25,300,CMA,4,4,0
25,300,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
50,3000,CMA,4,4,0
20,1500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
60,300,CMA,4,4,0
25,7000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
20,300,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
40,3500,ChainMetaModelPowell,4,4,1
20,300,CMA,4,4,0
90,300,CMA,4,4,0
20,7000,ChainMetaModelPowell,4,4,1
20,7000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
80,300,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
90,300,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
15,7000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
5,1500,ChainMetaModelPowell,4,4,1
5,1500,MetaModel,4,4,3
100,300,ConfPortfolio_scale2_NA_ngopt14s_6,4,4,12
10,7000,ChainMetaModelPowell,4,4,1
45,1500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
40,8000,CMA,4,4,0
15,7000,ChainMetaModelPowell,4,4,1
30,7000,MetaModel,4,4,3
100,10000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),4,4,5
45,1500,CMA,4,4,0
50,7000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),4,4,5
30,8000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
60,300,ConfPortfolio_scale2_scale=1.3_ngopt14s_16,4,4,23
45,7000,Cobyla,4,4,2
25,3500,MetaModel,4,4,3
70,300,CMA,4,4,0
35,8000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
40,1500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
40,7000,MetaModel,4,4,3
40,3000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
70,300,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
35,7000,MetaModel,4,4,3
35,7000,CMA,4,4,0
40,3000,CMA,4,4,0
80,300,CMA,4,4,0
2,200,CMA,5,5,0
3,200,Cobyla,5,5,2
100,500,ConfPortfolio_scale2_NA_ngopt14s_6,5,5,12
10,1000,MetaModelOnePlusOne,5,5,4
80,10000,CMA,5,5,0
60,8000,CMA,5,5,0
100,200,ConfPortfolio_scale2_NA_ngopt14s_7,5,5,11
50,10000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),5,5,5
60,9000,CMA,5,5,0
50,9000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),5,5,5
100,300,ConfPortfolio_scale2_NA_ngopt14s_7,5,5,11
80,9000,CMA,5,5,0
5,500,CMA,5,5,0
10,1500,CMA,5,5,0
30,7000,CMA,5,5,0
20,2500,Cobyla,5,5,2
15,2500,CMA,5,5,0
40,7000,CMA,5,5,0
3,10000,ConfPortfolio_scale2_scale=1.3_ngopt14s_18,5,5,21
45,7000,CMA,5,5,0
20,3500,CMA,5,5,0
50,7000,CMA,5,5,0
10,10000,ConfPortfolio_scale2_scale=1.3_ngopt14s_5,5,5,34
15,2000,CMA,5,5,0
10,6000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),5,5,5
2,9000,ConfPortfolio_scale2_scale=1.3_ngopt14s_21,5,5,18
3,300,CMA,5,5,0
20,3000,CMA,5,5,0
2,8000,ConfPortfolio_scale2_scale=1.3_ngopt14s_21,5,5,18
